B,G,R
100.95,96.95,112.95
100.95,96.95,112.95
101.95,97.95,113.95
102.95,98.95,114.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
100.95,96.95,113.95
100.95,96.95,113.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
100.95,96.95,113.95
100.95,96.95,113.95
100.95,96.95,113.95
100.95,96.95,113.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
100.95,96.95,113.95
100.95,96.95,113.95
100.95,96.95,113.95
100.95,96.95,113.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
100.95,96.95,113.95
99.95,95.95,112.95
99.95,95.95,112.95
100.95,96.95,113.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
100.95,96.95,113.95
100.95,96.95,113.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
100.95,96.95,113.95
100.95,96.95,113.95
100.95,96.95,113.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
102.95,98.95,114.95
102.95,98.95,114.95
101.95,97.95,113.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
102.95,98.95,114.95
102.95,98.95,114.95
102.95,98.95,114.95
102.95,98.95,114.95
102.95,98.95,114.95
103.95,99.95,115.95
103.95,99.95,115.95
103.95,99.95,115.95
103.95,99.95,115.95
103.95,99.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
99.95,92.95,110.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
99.95,92.95,110.95
99.95,93.95,109.95
99.95,93.95,109.95
99.95,93.95,109.95
98.95,92.95,108.95
98.95,92.95,108.95
98.95,92.95,108.95
99.95,93.95,109.95
99.95,93.95,109.95
99.95,93.95,109.95
99.95,93.95,109.95
99.95,92.95,110.95
99.95,92.95,110.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
97.95,90.95,108.95
97.95,90.95,108.95
97.95,90.95,108.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
99.95,92.95,110.95
99.95,92.95,110.95
99.95,93.95,109.95
99.95,93.95,109.95
99.95,93.95,109.95
99.95,93.95,109.95
100.95,94.95,110.95
100.95,94.95,110.95
99.95,93.95,109.95
99.95,93.95,109.95
99.95,93.95,109.95
99.95,93.95,109.95
97.95,93.95,109.95
97.95,93.95,109.95
98.95,94.95,111.95
98.95,94.95,111.95
99.95,95.95,112.95
99.95,95.95,112.95
99.95,95.95,112.95
99.95,95.95,112.95
99.95,95.95,112.95
99.95,95.95,112.95
100.95,93.95,111.95
100.95,93.95,111.95
101.95,94.95,112.95
101.95,94.95,112.95
101.95,94.95,112.95
100.95,93.95,111.95
98.95,94.95,110.95
98.95,94.95,110.95
98.95,94.95,110.95
98.95,94.95,110.95
99.95,95.95,111.95
99.95,95.95,111.95
101.95,95.95,111.95
101.95,95.95,111.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
101.95,95.95,111.95
101.95,95.95,111.95
100.95,94.95,110.95
100.95,94.95,110.95
100.95,94.95,110.95
101.95,94.95,112.95
102.95,95.95,113.95
102.95,95.95,113.95
102.95,95.95,113.95
101.95,95.95,111.95
101.95,95.95,111.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
101.95,95.95,111.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
103.95,97.95,113.95
101.95,95.95,111.95
101.95,95.95,111.95
101.95,95.95,111.95
101.95,95.95,111.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
99.95,95.95,111.95
99.95,95.95,111.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
99.95,95.95,111.95
99.95,95.95,111.95
99.95,95.95,111.95
98.95,94.95,110.95
98.95,94.95,110.95
98.95,94.95,110.95
99.95,95.95,111.95
99.95,95.95,111.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
102.95,98.95,114.95
102.95,98.95,114.95
101.95,97.95,113.95
101.95,97.95,113.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
101.95,97.95,113.95
102.95,98.95,114.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,114.95
100.95,96.95,113.95
100.95,96.95,113.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
100.95,96.95,113.95
100.95,96.95,113.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
100.95,96.95,113.95
100.95,96.95,113.95
100.95,96.95,113.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
100.95,96.95,113.95
100.95,96.95,113.95
100.95,96.95,113.95
100.95,96.95,113.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
100.95,96.95,113.95
100.95,96.95,113.95
100.95,96.95,113.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
100.95,96.95,113.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
102.95,98.95,114.95
102.95,98.95,114.95
101.95,97.95,113.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
102.95,98.95,114.95
102.95,98.95,114.95
102.95,98.95,114.95
102.95,98.95,114.95
103.95,99.95,115.95
103.95,99.95,115.95
103.95,99.95,115.95
103.95,99.95,115.95
103.95,99.95,115.95
103.95,99.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
103.95,99.95,116.95
101.95,97.95,114.95
101.95,97.95,114.95
99.95,92.95,110.95
98.95,91.95,109.95
98.95,91.95,109.95
99.95,92.95,110.95
99.95,92.95,110.95
98.95,91.95,109.95
98.95,91.95,109.95
99.95,92.95,110.95
99.95,92.95,110.95
99.95,92.95,110.95
99.95,93.95,109.95
98.95,92.95,108.95
97.95,91.95,107.95
97.95,91.95,107.95
98.95,92.95,108.95
99.95,93.95,109.95
99.95,93.95,109.95
99.95,93.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
97.95,90.95,108.95
97.95,90.95,108.95
97.95,90.95,108.95
97.95,90.95,108.95
97.95,90.95,108.95
97.95,90.95,108.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
99.95,92.95,110.95
99.95,93.95,109.95
99.95,93.95,109.95
99.95,93.95,109.95
99.95,93.95,109.95
99.95,93.95,109.95
100.95,94.95,110.95
100.95,94.95,110.95
100.95,94.95,110.95
99.95,93.95,109.95
99.95,93.95,109.95
97.95,93.95,109.95
97.95,93.95,109.95
98.95,94.95,111.95
98.95,94.95,111.95
99.95,95.95,112.95
98.95,94.95,111.95
98.95,94.95,111.95
98.95,94.95,111.95
98.95,94.95,111.95
98.95,94.95,111.95
98.95,94.95,111.95
98.95,94.95,111.95
101.95,94.95,112.95
101.95,94.95,112.95
99.95,95.95,112.95
99.95,95.95,112.95
98.95,94.95,110.95
98.95,94.95,110.95
98.95,94.95,110.95
98.95,94.95,110.95
99.95,95.95,111.95
98.95,94.95,110.95
98.95,94.95,110.95
99.95,95.95,111.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
101.95,95.95,111.95
101.95,95.95,111.95
100.95,94.95,110.95
101.95,95.95,111.95
102.95,95.95,113.95
102.95,95.95,113.95
102.95,95.95,113.95
102.95,95.95,113.95
101.95,95.95,111.95
101.95,95.95,111.95
101.95,95.95,111.95
101.95,95.95,111.95
101.95,95.95,111.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
101.95,95.95,111.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
98.95,94.95,110.95
98.95,94.95,110.95
99.95,95.95,111.95
99.95,95.95,111.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
99.95,95.95,111.95
99.95,95.95,111.95
99.95,95.95,111.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
99.95,95.95,111.95
99.95,95.95,111.95
98.95,94.95,110.95
98.95,94.95,110.95
98.95,94.95,110.95
99.95,95.95,111.95
99.95,95.95,111.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
100.95,96.95,112.95
100.95,96.95,112.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
102.95,98.95,114.95
102.95,98.95,114.95
101.95,97.95,113.95
101.95,97.95,113.95
100.95,96.95,112.95
100.95,96.95,112.95
101.95,97.95,113.95
102.95,98.95,114.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
100.95,96.95,113.95
100.95,96.95,113.95
100.95,96.95,113.95
100.95,96.95,113.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
100.95,96.95,113.95
100.95,96.95,113.95
100.95,96.95,113.95
100.95,96.95,113.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
102.95,98.95,115.95
102.95,98.95,115.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
102.95,98.95,114.95
102.95,98.95,114.95
101.95,97.95,113.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
102.95,98.95,114.95
102.95,98.95,114.95
102.95,98.95,114.95
103.95,99.95,115.95
103.95,99.95,115.95
103.95,99.95,115.95
103.95,99.95,115.95
103.95,99.95,115.95
103.95,99.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
103.95,99.95,116.95
101.95,97.95,114.95
101.95,97.95,114.95
99.95,92.95,110.95
99.95,92.95,110.95
99.95,92.95,110.95
100.95,93.95,111.95
100.95,93.95,111.95
99.95,92.95,110.95
99.95,92.95,110.95
99.95,92.95,110.95
99.95,92.95,110.95
99.95,92.95,110.95
99.95,93.95,109.95
98.95,92.95,108.95
97.95,91.95,107.95
97.95,91.95,107.95
98.95,92.95,108.95
98.95,92.95,108.95
98.95,92.95,108.95
98.95,92.95,108.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
97.95,90.95,108.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
97.95,90.95,108.95
98.95,91.95,109.95
97.95,90.95,108.95
97.95,90.95,108.95
97.95,90.95,108.95
97.95,90.95,108.95
98.95,91.95,109.95
98.95,91.95,109.95
99.95,92.95,110.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
99.95,92.95,110.95
100.95,93.95,111.95
100.95,94.95,110.95
100.95,94.95,110.95
99.95,93.95,109.95
99.95,93.95,109.95
100.95,94.95,110.95
100.95,94.95,110.95
101.95,95.95,111.95
101.95,95.95,111.95
100.95,94.95,110.95
100.95,94.95,110.95
98.95,94.95,110.95
98.95,94.95,110.95
98.95,94.95,111.95
99.95,95.95,112.95
98.95,94.95,111.95
98.95,94.95,111.95
98.95,94.95,111.95
97.95,93.95,110.95
97.95,93.95,110.95
98.95,94.95,111.95
98.95,94.95,111.95
98.95,94.95,111.95
101.95,94.95,112.95
101.95,94.95,112.95
99.95,95.95,112.95
99.95,95.95,112.95
99.95,95.95,111.95
99.95,95.95,111.95
99.95,95.95,111.95
99.95,95.95,111.95
99.95,95.95,111.95
98.95,94.95,110.95
98.95,94.95,110.95
99.95,95.95,111.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
101.95,95.95,111.95
101.95,95.95,111.95
101.95,95.95,111.95
102.95,95.95,113.95
102.95,95.95,113.95
102.95,95.95,113.95
101.95,94.95,112.95
102.95,96.95,112.95
101.95,95.95,111.95
101.95,95.95,111.95
101.95,95.95,111.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
103.95,97.95,113.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
103.95,97.95,113.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
99.95,95.95,111.95
99.95,95.95,111.95
99.95,95.95,111.95
100.95,96.95,112.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
100.95,96.95,112.95
99.95,95.95,111.95
99.95,95.95,111.95
99.95,95.95,111.95
99.95,95.95,111.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
101.95,97.95,113.95
100.95,96.95,112.95
99.95,95.95,111.95
99.95,95.95,111.95
99.95,95.95,111.95
99.95,95.95,111.95
100.95,96.95,112.95
100.95,96.95,112.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
102.95,98.95,114.95
101.95,97.95,113.95
100.95,96.95,112.95
100.95,96.95,112.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
102.95,98.95,114.95
102.95,98.95,114.95
102.95,98.95,114.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
102.95,98.95,114.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
102.95,98.95,115.95
102.95,98.95,115.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
102.95,98.95,114.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
102.95,98.95,114.95
102.95,98.95,114.95
102.95,98.95,114.95
103.95,99.95,115.95
103.95,99.95,115.95
103.95,99.95,115.95
103.95,99.95,115.95
103.95,99.95,115.95
103.95,99.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
103.95,99.95,116.95
103.95,99.95,116.95
103.95,99.95,116.95
99.95,92.95,110.95
99.95,92.95,110.95
99.95,92.95,110.95
98.95,91.95,109.95
98.95,91.95,109.95
99.95,92.95,110.95
99.95,92.95,110.95
99.95,92.95,110.95
99.95,92.95,110.95
99.95,92.95,110.95
99.95,92.95,110.95
98.95,91.95,109.95
97.95,90.95,108.95
97.95,90.95,108.95
97.95,90.95,108.95
98.95,91.95,109.95
98.95,92.95,108.95
98.95,92.95,108.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
97.95,90.95,108.95
97.95,90.95,108.95
97.95,90.95,108.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
97.95,90.95,108.95
97.95,90.95,108.95
97.95,90.95,108.95
97.95,90.95,108.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
99.95,92.95,110.95
99.95,92.95,110.95
100.95,94.95,110.95
100.95,94.95,110.95
100.95,94.95,110.95
100.95,94.95,110.95
99.95,93.95,109.95
99.95,93.95,109.95
100.95,94.95,110.95
100.95,94.95,110.95
99.95,93.95,109.95
99.95,93.95,109.95
97.95,93.95,109.95
98.95,94.95,110.95
99.95,95.95,112.95
99.95,95.95,112.95
99.95,95.95,112.95
98.95,94.95,111.95
97.95,93.95,110.95
97.95,93.95,110.95
97.95,93.95,110.95
97.95,93.95,110.95
100.95,93.95,111.95
101.95,94.95,112.95
99.95,95.95,112.95
99.95,95.95,112.95
98.95,94.95,111.95
99.95,95.95,112.95
99.95,95.95,111.95
99.95,95.95,111.95
99.95,95.95,111.95
98.95,94.95,110.95
99.95,95.95,111.95
99.95,95.95,111.95
99.95,95.95,111.95
99.95,95.95,111.95
101.95,95.95,111.95
100.95,94.95,110.95
101.95,95.95,111.95
103.95,97.95,113.95
102.95,96.95,112.95
102.95,96.95,112.95
101.95,95.95,111.95
101.95,95.95,111.95
101.95,94.95,112.95
101.95,94.95,112.95
102.95,95.95,113.95
102.95,95.95,113.95
101.95,95.95,111.95
101.95,95.95,111.95
101.95,95.95,111.95
101.95,95.95,111.95
102.95,96.95,112.95
103.95,97.95,113.95
102.95,96.95,112.95
102.95,96.95,112.95
101.95,95.95,111.95
102.95,96.95,112.95
102.95,96.95,112.95
102.95,96.95,112.95
103.95,97.95,113.95
103.95,97.95,113.95
102.95,96.95,112.95
102.95,96.95,112.95
100.95,96.95,113.95
100.95,96.95,113.95
100.95,96.95,113.95
100.95,96.95,113.95
100.95,96.95,113.95
99.95,95.95,112.95
100.95,96.95,112.95
101.95,97.95,113.95
99.95,95.95,111.95
99.95,95.95,111.95
99.95,95.95,111.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
99.95,95.95,111.95
100.95,96.95,112.95
99.95,95.95,111.95
99.95,95.95,111.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
99.95,95.95,111.95
99.95,95.95,111.95
99.95,95.95,111.95
99.95,95.95,111.95
100.95,96.95,112.95
101.95,97.95,113.95
102.95,98.95,114.95
101.95,97.95,113.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
100.95,96.95,112.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
102.95,98.95,114.95
102.95,98.95,114.95
101.95,97.95,114.95
102.95,98.95,115.95
102.95,98.95,114.95
102.95,98.95,114.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
102.95,98.95,114.95
102.95,98.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
102.95,98.95,115.95
102.95,98.95,115.95
101.95,97.95,114.95
100.95,96.95,113.95
100.95,96.95,113.95
101.95,97.95,114.95
101.95,97.95,114.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
102.95,98.95,115.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
100.95,96.95,113.95
99.95,95.95,112.95
100.95,96.95,113.95
100.95,96.95,113.95
100.95,96.95,113.95
101.95,97.95,114.95
102.95,98.95,115.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
100.95,96.95,113.95
100.95,96.95,113.95
100.95,96.95,113.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
100.95,96.95,113.95
100.95,96.95,113.95
100.95,96.95,112.95
100.95,96.95,112.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
101.95,97.95,113.95
102.95,98.95,114.95
103.95,99.95,115.95
103.95,99.95,115.95
103.95,99.95,115.95
103.95,99.95,115.95
103.95,99.95,115.95
103.95,99.95,115.95
103.95,99.95,115.95
102.95,98.95,114.95
101.95,97.95,114.95
101.95,97.95,114.95
102.95,98.95,115.95
103.95,99.95,116.95
102.95,98.95,115.95
102.95,98.95,115.95
99.95,92.95,110.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
99.95,92.95,110.95
99.95,92.95,110.95
99.95,92.95,110.95
99.95,92.95,110.95
99.95,92.95,110.95
99.95,92.95,110.95
98.95,91.95,109.95
97.95,90.95,108.95
97.95,90.95,108.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,92.95,108.95
98.95,92.95,108.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
97.95,90.95,108.95
97.95,90.95,108.95
97.95,90.95,108.95
97.95,90.95,108.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
98.95,91.95,109.95
99.95,92.95,110.95
98.95,91.95,109.95
97.95,90.95,108.95
97.95,90.95,108.95
