B,G,R
97.97,86.77,106.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
96.97,85.77,105.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
95.97,85.77,102.17
95.97,85.77,102.17
95.97,85.77,102.17
95.97,85.77,102.17
96.97,86.77,103.17
95.97,85.77,102.17
95.97,85.77,102.17
95.97,85.77,102.17
95.97,85.77,102.17
95.97,85.77,102.17
95.97,85.77,102.17
95.97,85.77,102.17
95.97,85.77,102.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
97.97,85.77,103.17
97.97,85.77,103.17
97.97,85.77,103.17
97.97,85.77,103.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,84.77,104.17
95.97,83.77,103.17
94.97,82.77,102.17
94.97,82.77,102.17
92.97,80.77,102.17
92.97,80.77,102.17
92.97,80.77,102.17
92.97,80.77,102.17
94.97,82.77,104.17
94.97,82.77,104.17
94.97,82.77,104.17
93.97,81.77,103.17
92.97,81.77,101.17
91.97,80.77,100.17
91.97,80.77,100.17
91.97,80.77,100.17
95.97,84.77,104.17
94.97,83.77,103.17
93.97,82.77,102.17
93.97,82.77,102.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
93.97,82.77,102.17
93.97,82.77,102.17
94.97,83.77,103.17
94.97,83.77,103.17
94.97,83.77,103.17
95.97,85.77,102.17
94.97,84.77,101.17
93.97,83.77,100.17
93.97,83.77,100.17
93.97,83.77,100.17
93.97,83.77,100.17
93.97,83.77,100.17
94.97,84.77,101.17
95.97,84.77,104.17
94.97,83.77,103.17
94.97,83.77,103.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
94.97,83.77,103.17
94.97,83.77,103.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
94.97,83.77,103.17
94.97,83.77,103.17
94.97,83.77,103.17
94.97,83.77,103.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
94.97,83.77,103.17
94.97,83.77,103.17
94.97,83.77,103.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,86.77,103.17
95.97,85.77,102.17
95.97,85.77,102.17
95.97,85.77,102.17
94.97,84.77,101.17
94.97,84.77,101.17
94.97,84.77,101.17
94.97,84.77,101.17
94.97,84.77,101.17
95.97,85.77,102.17
95.97,85.77,102.17
95.97,85.77,102.17
96.97,86.77,103.17
95.97,85.77,102.17
95.97,85.77,102.17
95.97,85.77,102.17
95.97,84.77,104.17
94.97,83.77,103.17
93.97,82.77,102.17
93.97,82.77,102.17
94.97,83.77,103.17
94.97,83.77,103.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
94.97,83.77,103.17
94.97,83.77,103.17
94.97,83.77,103.17
94.97,83.77,103.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,85.77,102.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
98.97,87.77,107.17
98.97,87.77,107.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
95.97,84.77,104.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
94.97,83.77,103.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
95.97,85.77,102.17
95.97,85.77,102.17
96.97,86.77,103.17
96.97,86.77,103.17
95.97,85.77,102.17
95.97,85.77,102.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
97.97,87.77,104.17
97.97,87.77,104.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
98.97,86.77,104.17
98.97,86.77,104.17
98.97,86.77,104.17
98.97,86.77,104.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,83.77,103.17
95.97,83.77,103.17
94.97,82.77,102.17
94.97,82.77,102.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,80.77,102.17
92.97,80.77,102.17
94.97,82.77,104.17
94.97,82.77,104.17
94.97,83.77,103.17
93.97,82.77,102.17
92.97,81.77,101.17
91.97,80.77,100.17
91.97,80.77,100.17
91.97,80.77,100.17
94.97,83.77,103.17
94.97,83.77,103.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
91.97,80.77,100.17
91.97,80.77,100.17
92.97,81.77,101.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
92.97,81.77,101.17
92.97,81.77,101.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
94.97,84.77,101.17
93.97,83.77,100.17
93.97,83.77,100.17
94.97,84.77,101.17
93.97,83.77,100.17
92.97,82.77,99.17
92.97,81.77,101.17
93.97,82.77,102.17
94.97,83.77,103.17
94.97,83.77,103.17
94.97,83.77,103.17
94.97,83.77,103.17
94.97,83.77,103.17
94.97,83.77,103.17
94.97,83.77,103.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
92.97,81.77,101.17
93.97,82.77,102.17
94.97,83.77,103.17
95.97,84.77,104.17
94.97,83.77,103.17
94.97,83.77,103.17
94.97,83.77,103.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
94.97,83.77,103.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
94.97,83.77,103.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
94.97,83.77,103.17
93.97,82.77,102.17
93.97,82.77,102.17
94.97,83.77,103.17
94.97,83.77,103.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
94.97,83.77,103.17
94.97,83.77,103.17
94.97,83.77,103.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,87.77,104.17
97.97,87.77,104.17
97.97,87.77,104.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
97.97,87.77,104.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
97.97,87.77,104.17
97.97,87.77,104.17
97.97,87.77,104.17
97.97,87.77,104.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
98.97,86.77,104.17
98.97,86.77,104.17
98.97,86.77,104.17
98.97,86.77,104.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
94.97,82.77,102.17
94.97,82.77,102.17
93.97,81.77,101.17
93.97,81.77,101.17
92.97,81.77,101.17
93.97,82.77,102.17
93.97,81.77,103.17
93.97,81.77,103.17
93.97,81.77,103.17
94.97,82.77,104.17
94.97,83.77,103.17
93.97,82.77,102.17
92.97,81.77,101.17
91.97,80.77,100.17
91.97,80.77,100.17
91.97,80.77,100.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
91.97,80.77,100.17
91.97,80.77,100.17
91.97,80.77,100.17
92.97,81.77,101.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
93.97,82.77,102.17
94.97,83.77,103.17
94.97,83.77,103.17
94.97,83.77,103.17
94.97,83.77,103.17
93.97,82.77,102.17
92.97,81.77,101.17
92.97,82.77,99.17
92.97,82.77,99.17
93.97,83.77,100.17
94.97,84.77,101.17
93.97,83.77,100.17
92.97,82.77,99.17
92.97,81.77,101.17
92.97,81.77,101.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
94.97,83.77,103.17
94.97,83.77,103.17
93.97,82.77,102.17
93.97,82.77,102.17
94.97,83.77,103.17
93.97,82.77,102.17
93.97,82.77,102.17
94.97,83.77,103.17
95.97,84.77,104.17
96.97,85.77,105.17
95.97,84.77,104.17
94.97,83.77,103.17
94.97,83.77,103.17
94.97,83.77,103.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
97.97,86.77,106.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
97.97,86.77,106.17
98.97,87.77,107.17
98.97,87.77,107.17
98.97,87.77,107.17
98.97,87.77,107.17
98.97,87.77,107.17
97.97,86.77,106.17
98.97,87.77,107.17
99.97,88.77,108.17
99.97,88.77,108.17
98.97,87.77,107.17
98.97,87.77,107.17
97.97,86.77,106.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
98.97,87.77,107.17
98.97,87.77,107.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
98.97,87.77,107.17
98.97,87.77,107.17
97.97,86.77,106.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
98.97,87.77,107.17
97.97,87.77,104.17
97.97,87.77,104.17
97.97,87.77,104.17
97.97,87.77,104.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
97.97,87.77,104.17
97.97,87.77,104.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
97.97,87.77,104.17
97.97,87.77,104.17
97.97,87.77,104.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
97.97,87.77,104.17
97.97,87.77,104.17
97.97,87.77,104.17
97.97,87.77,104.17
97.97,87.77,104.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
98.97,86.77,104.17
98.97,86.77,104.17
98.97,86.77,104.17
98.97,86.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
93.97,81.77,101.17
94.97,82.77,102.17
94.97,82.77,102.17
93.97,81.77,101.17
92.97,81.77,101.17
93.97,82.77,102.17
92.97,80.77,102.17
92.97,80.77,102.17
92.97,80.77,102.17
92.97,80.77,102.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
91.97,80.77,100.17
91.97,80.77,100.17
91.97,80.77,100.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
91.97,80.77,100.17
91.97,80.77,100.17
91.97,80.77,100.17
92.97,81.77,101.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
93.97,82.77,102.17
94.97,83.77,103.17
93.97,82.77,102.17
92.97,81.77,101.17
91.97,80.77,100.17
92.97,81.77,101.17
92.97,81.77,101.17
93.97,82.77,102.17
94.97,83.77,103.17
94.97,83.77,103.17
93.97,82.77,102.17
93.97,82.77,102.17
92.97,81.77,101.17
92.97,81.77,101.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
94.97,83.77,103.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
94.97,83.77,103.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,86.77,103.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
97.97,86.77,106.17
98.97,87.77,107.17
98.97,87.77,107.17
98.97,87.77,107.17
98.97,87.77,107.17
98.97,87.77,107.17
98.97,87.77,107.17
99.97,88.77,108.17
98.97,87.77,107.17
98.97,87.77,107.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
98.97,87.77,107.17
98.97,87.77,107.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
98.97,87.77,107.17
97.97,86.77,106.17
96.97,85.77,105.17
96.97,85.77,105.17
98.97,86.77,106.17
99.97,87.77,107.17
99.97,87.77,107.17
97.97,85.77,105.17
95.97,84.77,104.17
96.97,85.77,105.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
97.97,86.77,106.17
96.97,85.77,105.17
96.97,85.77,105.17
96.97,85.77,105.17
94.97,82.77,102.17
94.97,82.77,102.17
94.97,82.77,102.17
93.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,80.77,102.17
91.97,79.77,101.17
92.97,80.77,102.17
92.97,80.77,102.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
91.97,80.77,100.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
92.97,81.77,101.17
91.97,80.77,100.17
91.97,80.77,100.17
91.97,80.77,100.17
92.97,81.77,101.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
92.97,81.77,101.17
91.97,80.77,100.17
91.97,80.77,100.17
91.97,80.77,100.17
93.97,82.77,102.17
94.97,83.77,103.17
94.97,83.77,103.17
94.97,83.77,103.17
94.97,83.77,103.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
94.97,83.77,103.17
94.97,83.77,103.17
93.97,82.77,102.17
93.97,82.77,102.17
93.97,82.77,102.17
94.97,83.77,103.17
94.97,83.77,103.17
94.97,83.77,103.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
95.97,84.77,104.17
