B,G,R
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
98.94,93.94,108.94
98.94,93.94,108.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
98.94,93.94,108.94
98.94,93.94,108.94
97.94,92.94,107.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
93.94,88.94,103.94
92.94,87.94,102.94
92.94,87.94,102.94
91.94,86.94,101.94
91.94,86.94,101.94
91.94,86.94,101.94
91.94,86.94,101.94
92.94,87.94,102.94
92.94,87.94,102.94
92.94,87.94,102.94
92.94,86.94,104.94
91.94,85.94,103.94
91.94,85.94,103.94
92.94,86.94,104.94
93.94,87.94,105.94
93.94,87.94,105.94
93.94,88.94,103.94
92.94,87.94,102.94
92.94,87.94,102.94
92.94,87.94,102.94
92.94,87.94,102.94
92.94,87.94,102.94
92.94,87.94,102.94
92.94,87.94,102.94
93.94,88.94,103.94
93.94,88.94,103.94
93.94,88.94,103.94
92.94,87.94,102.94
92.94,87.94,102.94
92.94,87.94,102.94
92.94,87.94,102.94
92.94,87.94,102.94
92.94,86.94,104.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
91.94,85.94,103.94
92.94,86.94,104.94
93.94,87.94,105.94
93.94,87.94,105.94
93.94,87.94,105.94
93.94,87.94,105.94
93.94,87.94,105.94
94.94,88.94,106.94
94.94,88.94,106.94
94.94,88.94,106.94
94.94,88.94,106.94
93.94,87.94,105.94
93.94,87.94,105.94
93.94,87.94,105.94
94.94,89.94,104.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
97.94,91.94,109.94
97.94,91.94,109.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
96.94,90.94,108.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
99.94,93.94,111.94
99.94,93.94,111.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
98.94,93.94,108.94
98.94,93.94,108.94
97.94,92.94,107.94
97.94,92.94,107.94
98.94,93.94,108.94
97.94,92.94,107.94
97.94,92.94,107.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
97.94,92.94,107.94
97.94,92.94,107.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
97.94,92.94,107.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
93.94,88.94,103.94
92.94,87.94,102.94
91.94,86.94,101.94
91.94,86.94,101.94
91.94,86.94,101.94
91.94,86.94,101.94
91.94,86.94,101.94
92.94,87.94,102.94
92.94,86.94,104.94
91.94,85.94,103.94
91.94,85.94,103.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
93.94,87.94,105.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
93.94,87.94,105.94
94.94,88.94,106.94
94.94,88.94,106.94
93.94,87.94,105.94
93.94,87.94,105.94
93.94,87.94,105.94
94.94,88.94,106.94
94.94,88.94,106.94
94.94,88.94,106.94
94.94,88.94,106.94
93.94,87.94,105.94
93.94,87.94,105.94
93.94,87.94,105.94
94.94,88.94,106.94
94.94,88.94,106.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
96.94,90.94,108.94
96.94,90.94,108.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
96.94,90.94,108.94
96.94,90.94,108.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
99.94,93.94,111.94
99.94,93.94,111.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,93.94,108.94
98.94,93.94,108.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
98.94,93.94,108.94
98.94,93.94,108.94
97.94,92.94,107.94
97.94,92.94,107.94
98.94,93.94,108.94
97.94,92.94,107.94
97.94,92.94,107.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
97.94,92.94,107.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
97.94,92.94,107.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
94.94,89.94,104.94
92.94,87.94,102.94
91.94,86.94,101.94
91.94,86.94,101.94
91.94,86.94,101.94
91.94,86.94,101.94
91.94,86.94,101.94
92.94,87.94,102.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
92.94,86.94,104.94
93.94,87.94,105.94
93.94,87.94,105.94
92.94,86.94,104.94
91.94,85.94,103.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
93.94,87.94,105.94
94.94,88.94,106.94
94.94,88.94,106.94
93.94,87.94,105.94
92.94,86.94,104.94
93.94,87.94,105.94
94.94,88.94,106.94
93.94,87.94,105.94
93.94,87.94,105.94
94.94,88.94,106.94
94.94,88.94,106.94
93.94,87.94,105.94
93.94,87.94,105.94
94.94,88.94,106.94
94.94,88.94,106.94
95.94,89.94,107.94
94.94,88.94,106.94
94.94,88.94,106.94
94.94,88.94,106.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
95.94,90.94,105.94
95.94,90.94,105.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
95.94,90.94,105.94
95.94,90.94,105.94
96.94,90.94,108.94
97.94,91.94,109.94
97.94,91.94,109.94
96.94,90.94,108.94
95.94,89.94,107.94
96.94,90.94,108.94
96.94,90.94,108.94
97.94,91.94,109.94
97.94,91.94,109.94
96.94,90.94,108.94
96.94,90.94,108.94
95.94,89.94,107.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
97.94,91.94,109.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
96.94,90.94,108.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
97.94,91.94,109.94
98.94,93.94,108.94
98.94,93.94,108.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,91.94,109.94
97.94,91.94,109.94
96.94,90.94,108.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
96.94,90.94,108.94
96.94,90.94,108.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
96.94,90.94,108.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
96.94,90.94,108.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,93.94,108.94
98.94,93.94,108.94
97.94,92.94,107.94
97.94,92.94,107.94
98.94,93.94,108.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
96.94,91.94,106.94
96.94,91.94,106.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
98.94,93.94,108.94
98.94,93.94,108.94
97.94,92.94,107.94
96.94,91.94,106.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
98.94,93.94,108.94
98.94,93.94,108.94
97.94,92.94,107.94
97.94,92.94,107.94
98.94,93.94,108.94
98.94,93.94,108.94
96.94,91.94,106.94
96.94,91.94,106.94
95.94,90.94,105.94
96.94,91.94,106.94
96.94,91.94,106.94
97.94,92.94,107.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
98.94,93.94,108.94
93.94,88.94,103.94
92.94,87.94,102.94
91.94,86.94,101.94
91.94,86.94,101.94
92.94,87.94,102.94
92.94,87.94,102.94
91.94,86.94,101.94
90.94,85.94,100.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
90.94,84.94,102.94
91.94,85.94,103.94
92.94,86.94,104.94
93.94,87.94,105.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
93.94,87.94,105.94
93.94,87.94,105.94
93.94,87.94,105.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
93.94,87.94,105.94
93.94,87.94,105.94
92.94,86.94,104.94
92.94,86.94,104.94
93.94,87.94,105.94
94.94,88.94,106.94
93.94,87.94,105.94
93.94,87.94,105.94
94.94,88.94,106.94
94.94,88.94,106.94
94.94,88.94,106.94
94.94,88.94,106.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
96.94,90.94,108.94
96.94,90.94,108.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
97.94,92.94,107.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
95.94,89.94,107.94
94.94,88.94,106.94
95.94,89.94,107.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
94.94,88.94,106.94
95.94,89.94,107.94
96.94,90.94,108.94
96.94,90.94,108.94
97.94,91.94,109.94
96.94,90.94,108.94
95.94,89.94,107.94
96.94,90.94,108.94
96.94,90.94,108.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
96.94,90.94,108.94
96.94,90.94,108.94
96.94,90.94,108.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
96.94,90.94,108.94
95.94,89.94,107.94
96.94,90.94,108.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
95.94,89.94,107.94
96.94,90.94,108.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
96.94,90.94,108.94
97.94,92.94,107.94
97.94,92.94,107.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
97.94,91.94,109.94
98.94,92.94,110.94
98.94,92.94,110.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
96.94,91.94,106.94
96.94,91.94,106.94
96.94,91.94,106.94
97.94,92.94,107.94
97.94,92.94,107.94
98.94,93.94,108.94
98.94,93.94,108.94
99.94,94.94,109.94
98.94,93.94,108.94
98.94,93.94,108.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
97.94,92.94,107.94
98.94,93.94,108.94
92.94,87.94,102.94
91.94,86.94,101.94
91.94,86.94,101.94
91.94,86.94,101.94
92.94,87.94,102.94
92.94,87.94,102.94
92.94,87.94,102.94
91.94,86.94,101.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
91.94,85.94,103.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
93.94,87.94,105.94
93.94,87.94,105.94
93.94,87.94,105.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
92.94,86.94,104.94
93.94,87.94,105.94
93.94,87.94,105.94
92.94,86.94,104.94
93.94,87.94,105.94
93.94,87.94,105.94
94.94,88.94,106.94
93.94,87.94,105.94
93.94,87.94,105.94
94.94,88.94,106.94
94.94,88.94,106.94
94.94,88.94,106.94
94.94,88.94,106.94
94.94,88.94,106.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,89.94,107.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
95.94,90.94,105.94
96.94,91.94,106.94
95.94,90.94,105.94
